text,label
"Shares of food and beverage giant PepsiCo Inc rose sharply Thursday on rumors that it could be a takeover target of Philip Morris Cos Inc.
Industry experts flatly dismissed the rumor, saying a pricetag on any potential transaction would be an astounding $60 to $80 billion.
Instead, they said the rumor, just the latest to surface about PepsiCo in recent months, underscores widespread dissatisfaction about the company's outlook.  
""I don't ever say no to anything, but I think this is a farfetched rumor,"" said Martin Romm of CS First Boston.
Officials from PepsiCo and Philip Morris declined to comment on the rumor, citing company policy.
But shares of PepsiCo, which have been active recently, jumped 1-3/8 to 30-1/2 and Philip Morris gained 1-1/8 to 97. Wall Street rumblings began earlier this week and the rumor picked up steam after a Thursday report in the New York Post.  
The New York Post cited a rumor on Wall Street that Philip Morris would offer $50 a share for PepsiCo.
The speculation of a deal with Philip Morris comes less than one month after PepsiCo announced a major plan to pull out of weak international beverage markets.
The restructuring, which called for a charge of more than $500 million against earnings, also included cost-cutting targets and continued focus on its Frito-Lay snack food unit.  
But Wall Street is disappointed with the company's indecision about its casual restaurant business, which has performed below expectations. PepsiCo said it is reviewing those operations and analysts widely expect the company to eventually sell the business.
In the meantime, earnings growth will rest heavily on the strong Frito-Lay division.  
""In 1997, a large (part of PepsiCo earnings) is going to be riding on the shoulders of Frito-Lay. Frito-Lay, in my opinion, has to deliver next year,"" said Skip Carpenter of Donaldson Lufkin & Jenrette, who does not anticipate a major turnaround for the international beverage business until 1998 or 1999.
Analysts said PepsiCo reported third quarter earnings on Tuesday that met expectations, but failed to excite investors.
If PepsiCo sells the restaurant business as expected, the company may pour some of those proceeds into acquisitions to further beef up the solid snack food business, analysts said.  
Analysts also have dismissed recent rumors that PepsiCo would be interested in buying Starbucks Corp. They said a transaction between the two would likely dilute PepsiCo earnings and disappoint investors who want the company to exit the casual dining business.
Both companies declined to comment on the PepsiCo-Starbucks speculation. The two companies are in a joint venture for the production and sale of a cold coffee beverage called Frappucino.  
Philip Morris' huge product line includes Post breakfast cereals, Marlboro cigarettes and Kraft cheese.",0
"The U.S. food industry, besieged by years of slow growth, wants to whip up new business from people who don't cook.
Armed with a new study that predicts consumer spending on ready-made foods will accelerate in the next 10 years, food firms are reaching out to a generation that doesn't know the difference between baking powder and baking soda.  
""Consumers aren't looking anymore for a cake mix.  They want the slice of cake,"" said John Gray, executive director of the International Foodservice Distributors Association, which helped fund the study released this week.
Industry executives this week said they are developing fresh strategies to feed 18-to-24 year olds -- a generation that grew up with working mothers and microwave ovens.
""Cooking from scratch is diminishing: many consumers in 2005 will never have cooked a meal from basic ingredients,"" said the study by consulting firm McKinsey & Co Inc titled ""Foodservice 2005: Satisfying America's Changing Appetite.""  
The study confirms trends that food manufacturers and food distributors already are seeing: harried consumers bypass the fresh meat and spice aisles of a supermarket in favor of sections selling barbecued chicken and ready-made salad.
The study projects the food industry will grow 1.6 percent per year to nearly $800 billion a year by 2005.  The foodservice sector is expected to capture nearly all of the anticipated incremental sales, pegged at $100 billion.  
""There is going to be a whole new plethora of different foodservice opportunities,"" said William Eacho, president and chief executive officer of  Atlantic Food Services, a Virginia-based foodservice distribution company.
Tomorrow's supermarkets are expected to have drive-up windows where consumers can buy ready-made meals.
Executives also envision stores that group food by meal categories so that shoppers can head right to the breakfast aisle instead of wandering throughout the store.  
The changes are expected to be especially challenging for food manufacturers, who may see shelf space for their products shrink as stores provide more ready-made products.
Nabisco Holdings Corp already is experimenting with ways to ensure its products are not lost in the shuffle.  The maker of items such as Oreo cookies and Grey Poupon mustard wants to leverage its brand popularity into ready-made meals.
""As a major food manufacturer, we ought to have our fair share of that growth,"" said Henry Lambert, president of Nabisco's food service company.  
That may mean developing a Grey Poupon-based sandwich spread for supermarket sandwiches or working with a dessert manufacturer to sell individual slices of cheesecake that contain Oreo cookies, Lambert said.
And demand for those kinds of products is expected to grow as consumers spend less time preparing meals.  Industry experts estimate people now spend about 20 minutes preparing a meal versus two hours of preparation time about 50 years ago.
""The meal is not the social setting of the evening anymore. It's a nuisance,"" said Robert Stauth, chairman and chief executive officer of food distributor Fleming Cos Inc.",0
"Fast-growing Republic Industries Inc., which is led by Florida entrepreneur Wayne Huizenga, said Thursday it would buy Alamo-Rent-A-Car Inc. for $625 million in a move to sharply expand its automobile business.
The deal comes less than six weeks after the collapse of Huizenga's $4.3 billion plan to buy security firm ADT Ltd.
""Leisure travel is a fast growing segment of the automobile rental industry and Alamo's innovative leadership in this growth sector of the automobile rental marketplace is consistent with our strategy of building consumer-oriented, service related businesses with recognised brand names and strong management,"" Huizenga said in a statement.
Republic is expected to use Alamo to expand its burgeoning auto business rooted in used-car company AutoNation USA.
Huizenga ""wants to be the largest used-car sales, leasing and rental provider. It makes sense to have the Alamo fleet as a warehouse for his vehicles,"" said Andrew Jeffrey, analyst at Robertson Stephens & Co.
Alamo is the fourth-largest rental car company in the United States, with a fleet of about 130,000 vehicles. Alamo operates in 42 states in the United States and has operations in 10 European countries and Canada.
Alamo founder and Chairman Michael Egan, who owns about 94 percent of the company, will continue as chairman of Alamo.
Huizenga said Republic's AutoNation USA car business will benefit from Alamo's strong relationships with manufacturers and other automotive suppliers.
""The combination of Alamo with Republic's 'like-new' automobile retailing concept is an exceptional fit that will enable AutoNation USA to accelerate its business plan and create a unique, dedicated and predictable source of inventory for our megastore distribution system,"" he said.
Republic bought used-car company AutoNation earlier this year and opened its first superstore about two weeks ago in Florida. It plans to open three or four more AutoNation stores this year and quickly expand the chain so there are some 80 stores around the nation by the end of the decade.
AutoNation will be supplemented by Republic's recent $95 million purchase of used-car superstore firm CarChoice Inc.
Investors praised the latest acquisition by Republic, bidding the company's stock up $2.875 to $33.625 on Nasdaq. The deal will be accounted for as a pooling of interests.
In addition to the automotive industry, Republic specialises in electronic security and solid waste companies. Huizenga also owns the professional Florida Marlins baseball, Panthers hockey and Dolphins football teams.
Huizenga suffered a setback in late September when his plan to buy security firm ADT was called off after weeks of uncertainty. Although the stock deal was viewed positively from a strategic standpoint, it fell apart due to volatility in Republic's stock and the inability of the companies to revise terms of the transaction.
Analysts saw little chance of that happening with Alamo.
""I think Alamo provides Republic everything that ADT did, plus more, from the auto side,"" said Jordan Hymowitz of Montgomery Securities, who rates Republic shares as a buy.
Republic also said it will pursue more car deals.
""We're interested in growing in virtually every segment of the automobile industry,"" spokesman Ronald Castell said, citing rental, used cars, repairs and financing.
The acquisition of Alamo marks the latest in a flurry of transactions in the rental car industry.
On Wednesday, ADT said it planned to sell its U.S. auto-auction business, ADT Automotive. The unit is the nation's second-largest automobile auction company, and its sale would mark ADT's complete exit from that business after it sold its European auto-auction unit last year.
Last month, hotel and real estate operator HFS Inc. bought Avis Inc., the world's second largest car rental company, for about $800 million. HFS has said it will pursue another similar acquisition and launch an initial public offering for part of its rental car subsidiary next year.
Ford Motor Co., which owns Hertz, in July announced it was expanding its rental car business with the acquisition of Budget Rent-a-Car. Ford already had owned part of Budget.
Meanwhile, Chrysler Corp. wants to sell subsidiaries Dollar Rent-A-Car and Thrifty Rent-A-Car.",0
"In yet another sign that utilities are branching out far beyond their traditional markets, PacifiCorp and Protection One Inc. on Friday announced a marketing alliance aimed at boosting customer loyalty in an increasingly competitive industry.
Under the venture, customers of PacifiCorp subsidiaries Pacific Power and Utah Power will be offered a security system from regional alarm company Protection One.
The unusual alliance is viewed as the first of many creative ventures in an uncertain era of utility deregulation.
""This is the start of what is going to happen all over the place. It's a whole new business that will coattail on the aggressive nature utilities are starting to take. One-stop shopping is becoming key from a marketing position,"" said Ron Chebra, manager of utilities and energy industries at AT&T Solutions.
Utilities are becoming increasingly attracted to security companies as they prepare to enter new markets that previously had been off-limits due to federal regulations. In recent months, utilities have bought security firms or made large investments in them.
""We're looking for new products and services that we can bring to our customer base as a way to build loyalty and ultimately build preference with our residential customers,"" said Rene Carroll, consumer products manager at PacifCorp.
""We've been looking at different ways of entering the home security business for over a year,"" she added.
The alliance will give Protection One instant access to the 1.4 million customers served by the PacifiCorp subsidiaries and extends its reach to Utah. Previously, the regional security firm served six western states.
At a recent conference on mergers in the security industry, Protection One officials declined to discuss potential revenue from the alliance, but noted that capturing even 5 percent of PacifiCorp customers would be significant.
Customers accepting the offer will receive free installation of a home security system with the purchase of a two-year agreement for monitoring services.
The security system's alarm panel also will hold thermostat and lighting controls and remote access.
The alliance is expected to be just the first step for Protection One, which is trying to take advantage of new opportunities that are emerging from deregulation of the utilities and telecommunications industries.
""We think this is the first of quite a few announcements we'll be making in the next 12 months or so,"" Protection One Chief Financial Officer John Hesse told Reuters at the recent security conference.
The alliance re-establishes a link between the two companies that was dissolved several years ago. Protection One began as a subsidiary of PacifiCorp in 1988, but the alarm company split off in a management buyout three years later. Protection One then became a publicly-traded alarm company in 1994.",0
"Conrail Inc. and CSX Corp. so far have convinced the courts that their $8.6 billion merger plan should proceed, but they still need to win over unhappy shareholders who favour Norfolk Southern Corp.'s higher bid.
Lawyers and financial advisors were expected in the next few days to consider several plans aimed at persuading investors to approve a crucial measure needed for the deal.
Meanwhile, CSX said Thursday that its $110 cash tender offer for 19.9 percent of Conrail shares, which represents the first part of its plan to buy Conrail, was oversubscribed.
The proposed stock and cash transaction has angered many investors, who prefer an all-cash $10 billion offer by Norfolk Southern, based in Norfolk, Va.
Philadelphia-based Conrail has rejected the Norfolk Southern offer of $110 a share, saying the union with CSX provides more strategic benefits.
Sources close to the companies said no final decision has been made about how to woo Conrail shareholders, but options include sweetening the stock portion of the deal or setting a ""collar"" to guard against price volatility.
They will also consider revising the deal's terms to accelerate payment to investors, according to the sources, who did not want to be identified.
The two companies could also decide to keep the terms unchanged, betting that shareholders will ultimately choose the CSX offer over Norfolk Southern's offer, which cannot be formally considered by Conrail until July.
""There's only one thing they can do and that's to sweeten the offer. I don't know how they're going to get enough votes if they don't,"" said Thom Brown, managing director at investment firm Rutherford, Brown & Catherwood Inc., which holds some 50,000 shares of Conrail.
Richmond, Va.-based CSX and Conrail declined to comment on their plans, but acknowledged last week they were discussing increasing the value of the pact upon its consummation.
Sources close to the companies said there is no rush to make a decision, noting that Conrail can easily postpone the shareholder vote that is now slated for mid-December.
CSX and Conrail won a significant victory this week when a U.S. district court judge denied a request by Norfolk Southern to block the CSX-Conrail deal. An appeals panel also declined to block the first step of the deal.
Norfolk Southern, meanwhile, withdrew its motion for an expedited appeal of the federal court ruling that allowed CSX to buy the 19.9 percent stake in Conrail, since the tender offer expired at midnight on Wednesday.
But a group of Conrail shareholders pursuing a lawsuit and appeal similar to Norfolk Southern's did not withdraw their motion for expedited appeal. The group urged the court on Wednesday to hear an expedited appeal and ""sterlize"" the 19.9 percent Conrail stake by preventing CSX from voting it at a shareholders meeting needed for the merger to occur.
Because Pennsylvania corporate law prohibits a company from buying more than 20 percent of another company in a cash tender offer, shareholders will be asked in mid-December to approve a measure that would permit CSX to buy 40 percent.
The CSX-Conrail transaction calls for CSX to buy 40 percent of Conrail shares for $110 per share in cash and exchange the remaining 60 percent for CSX stock.
Sources close to the company said Conrail and CSX were well aware of the potential difficulties in winning the necessary votes.
Industry experts believe shareholders may be more willing to approve the 40 percent measure if they were guaranteed more favourable terms for the stock portion of the deal.
""They can't get the vote until they improve the back-end of the deal and they know that,"" one takeover specialist said.
Meanwhile, Conrail stock tumbled, reflecting the expiration of CSX's tender offer. The stock fell $2.25 to $94.625 on the New York Stock Exchange.
Based on Thursday's stock price, the Conrail-CSX transaction values shares of Conrail at about $95.10 each. The stock portion of the deal would be exchanged at a value of about $85.15 for each Conrail share.",0
"The stock of American Medical Response Inc. fell sharply for the second consecutive session Wednesday on concern that the Aurora, Colo.-based ambulance company is straying from its successful acquisition strategy.
The steep decline came after American Medical Response announced Tuesday an agreement to buy STAT Healthcare Inc. in a stock transaction valued at $145 million.
The planned acquisition moves American Medical Response, which has bought 69 ambulance companies since 1992, into hospital emergency rooms and disease management.
The stock of American Medical Response tumbled $4 on the New York Stock Exchange to $30.50. The stock dropped $3 after the transaction was announced on Tuesday.
Wall Street analysts said the deal was strategically sound from a long-term perspective, but noted that investors were wary of the company's shift into a new area.
""The scepticism, which we don't share, is related to the company's going into a business outside their consolidation within the ambulance industry,"" said Randall Huyser of Furman Selz.
Houston-based STAT Healthcare provides staffing for hospital emergency rooms. It also offers outpatient medical services such as kidney dialysis.
Industry sources also cited the company's prediction the deal will slightly dilute earnings this year.
In a conference call with investors and analysts on Tuesday, American Medical Response said the transaction will add to earnings in 1997. It also anticipated cost savings of $2.5 million from the merger.
Industry analysts noted that the acquisition marked a logical extension of its existing services by branching out into the hospital emergency room and providing more services for clients.
""They're taking it beyond just driving you to the hospital,"" said Clifford Hewitt of Sanford C. Bernstein & Co Inc.
Industry sources also noted that shareholders of STAT Healthcare were likely to be concerned about the steep stock decline because the transaction was not based on any fixed price for American Medical Response shares. The deal calls for each share of STAT common stock to be converted into one-quarter share of American Medical Response.
Officials from both companies could not be reached for comment.
STAT stock fell 87.5 cents to $7.375 on Nasdaq.
Analysts expect American Medical Response to continue its tradition of buying ambulance companies as it works to integrate the STAT acquisition.
""I think the outlook for this company is very good. There are 12,000 ambulance companies in the U.S. and they aren't geared to the needs of medical care as it is evolving,"" said Hewitt.",0
"The three-year-old partnership between British Airways and USAir Group Inc, already severely damaged by a potential competing alliance, moved closer toward collapse on Thursday when USAir said it was cancelling a key marketing agreement between the two carriers.
Although surprised by the move, industry analysts said it will have little impact on USAir, which received far less revenue from the alliance than did British Airways.
British Airways still retains a 24.6 percent stake in Arlington, Va-based USAir.  
USAir said it would end its code-sharing pact and frequent flier programs with British Airways on March 29, 1997.
Code-sharing is a marketing agreement in which airlines share passengers and extend their reach to destinations they do not typically serve. Over the past several years, dozens of world airlines have entered into such pacts.
The USAir move cames amid increasing hostility between it and its British partner. British Airways earlier this year announced plans to form a massive alliance with powerhouse AMR, parent of American Airlines Inc.  
The move infuriated USAir, which promptly sued the two carriers and contended that their planned pact would undermine the USAir-British Airways partnership.
Although the relationship had certainly turned rocky, most analysts had not expected USAir to sever the tie until the proposed British Airways-AMR pact was finalized. That proposed alliance has raised antitrust concerns, awaits regulatory approvals and is linked to other aviation issues.
""Clearly, it's difficult to simultaneously sue a partner and cooperate with a partner,"" said Samuel Buttrick of PaineWebber.  
British Airways said in London that it would continue to work with USAir until the pact is terminated.
At the time the partnership began in 1993, USAir was a money-losing airline that desperately needed to reduce costs and expand its global presence. British Airways invested $400 million under the partnership, but refused to pump any more money in the carrier because of its poor financial performance.
Since then, USAir's financial position has improved amid healthier times for the airline industry, but its costs are still higher than other major U.S. carriers.
""At the time the alliance was made, USAir received the cash which it needed, but today, it doesn't need it,"" said Glenn Engel of Goldman Sachs.
USAir's future plans are now more uncertain with the decision to sever ties with British Airways, especially because chief executive officer Stephen Wolf has stressed that he wants to expand USAir's transatlantic presence.
""I'm a little mystified. They don't have anything to replace it with yet,"" said Donaldson Lufkin & Jenrette analyst James Higgins.",0
"One day after rival bidders sent its stock on a rollercoaster ride, Conrail Inc was set Tuesday to formally consider a $9 billion takeover offer from Norfolk Southern Corp.
The company's board of directors was widely expected to reject the unsolicited Norfolk Southern offer in favor of a friendly $8.4 billion deal with CSX Corp.
""My guess is, at this point, that they stick with the CSX proposal,"" said Brian Routledge of Prudential Securities .  
Conrail's board was slated to meet Tuesday ahead of a Wednesday deadline to respond to the Norfolk Southern offer.
A Conrail spokesman declined to comment on the timing of its decision, but Wall Street experts expected the company to issue an announcement on Wednesday.
Conrail agreed on Oct. 15 to be bought by CSX in a cash and stock transaction valued at $8.4 billion, or $92.50 per share. Norfolk launched its $100-per-share bid on Oct. 23.
Since then, Norfolk Southern and CSX have vehemently attacked each other's offers and landed in court.  
The CSX-Norfolk Southern relationship between took a new twist Monday when the companies announced they were holding discussions about their bids, but offered conflicting accounts about the talks. Uncertainty about those talks prompted sharp stock declines on Monday.
Industry experts said Conrail is likely to defend the lower CSX bid by citing the strategic benefits of the transaction and the lack of potential legal problems associated with the friendly deal. Legal expoerts have said that Pennsylvania takeover law could impede a Norfolk Southern acquisition of Conrail.  
Experts also speculated that Conrail may try to convince CSX to sweeten its offer in an attempt to appease shareholders who may be upset by the rejection of a higher bid.
Railroad industry experts have said that CSX likely cannot afford to match Norfolk Southern's $100 cash offer, but may be able to restructure the bid to increase the cash portion of the transaction.
""I think it is a strong likelihood that any positive reaction from Conrail's bid toward the Norfok Southern bid will force CSX to sweeten their bid,"" said Carole Neely of Brown Brothers Harriman.",0
"French holding company CGIP said on Friday it could strike a deal in the next few weeks to acquire a 28 percent stake in automotive parts firm Valeo SA from Italian businessman Carlo De Benedetti.
In a meeting with reporters, CGIP chairman Ernest-Antoine Seilliere described negotiations as nearing a ""momentum.""
""In the coming weeks, we could come to a conclusion,"" he said. He said it would be a longterm investment for CGIP.
Seilliere declined to discuss a potential price for the stake owned by De Benedetti's holding company Cerus.  
CGIP's efforts to buy a piece of Valeo moved a step closer late Thursday, when it sold half of its 20 percent stake in Crown Cork & Seal Co Inc for $560.6 million.
CGIP has said that profits from the sale would be used to finace the stake in Valeo.
""Now we have sold part of our assets, obviously we are seen as serious to buy Valeo, but we still have a way to go. We are serious about what we are doing,"" Seilliere said.
CGIP is a holding company with industrial and information technology investments.
Seilliere said the purchase of a stake in Valeo would fit its strategy to invest in firms that have a global presence. Seventy percent of Valeo's business is outside of France, he said.
He also dismissed the potential of Valeo falling prey to the cyclical nature of the autmotive business, saying that opportunities abound in growing economies around the world.
He noted that CGIP previously held a stake in Valeo and sold it in 1993. He also said that the company does not need any significant productivity or organizational changes.  
Although Seilliere appeared hopeful that a deal for the Valeo stake will be struck, he also said that CGIP would certainly consider another investment if the Valeo acquisition falls apart. He did not name any potential companies.
Regarding its stake in Crown Cork, which now totals 10.1 percent, Seilliere said CGIP's relationship with company had not been affected by the partial sale of its investment.
""Our team is still there. Nothing has changed,"" he said, noting that CGIP still has more than $600 million invested in the company.
CGIP decided to sell a portion of its Crown Cork & Seal holdings after investors and analysts expressed concern that packaging had grown to 50 percent of CGIP's assets, up from about 21 percent in 1986, Seilliere said.",0
"Conrail Inc. and CSX Corp. so far have convinced the courts that their $8.65 billion merger plan should proceed, but they still need to win over unhappy shareholders who favour Norfolk Southern Corp.'s larger bid.
Lawyers and financial advisors were expected in the next few days to consider several plans aimed at persuading investors to approve a crucial measure needed for the deal.
Meanwhile, CSX said Thursday that its $110 cash tender offer for 19.9 percent of Conrail shares, which represents the first part of its plan to buy Conrail, was oversubscribed.
The proposed stock and cash transaction has angered many investors, who prefer an all-cash $10 billion offer by Norfolk Southern, based in Norfolk, Va.
Philadelphia-based Conrail has rejected the Norfolk Southern offer of $110 a share, saying the union with CSX provides more strategic benefits.
Sources close to the companies said no final decision has been made about how to woo Conrail shareholders, but options include sweetening the stock portion of the deal or setting a ""collar"" to guard against price volatility.
They will also consider revising the deal's terms to accelerate payment to investors, according to the sources, who did not want to be identified.
The two companies could also decide to keep the terms unchanged, betting that shareholders will ultimately choose the CSX offer over Norfolk Southern's offer, which cannot be formally considered by Conrail until July.
""There's only one thing they can do and that's to sweeten the offer. I don't know how they're going to get enough votes if they don't,"" said Thom Brown, managing director at investment firm Rutherford, Brown & Catherwood Inc., which holds some 50,000 shares of Conrail.
Richmond, Va.-based CSX and Conrail declined to comment on their plans, but acknowledged last week that they are discussing increasing the value of the pact upon its consummation.
Sources close to the companies said there is no rush to make a decision, noting that Conrail can easily postpone the shareholder vote that is now slated for mid-December.
CSX and Conrail won a significant victory this week when a U.S. district court judge denied a request by Norfolk Southern to block the CSX-Conrail proposal. An appeals panel also declined to block the deal's first step, but will consider Norfolk Southern's request for an expedited appeal.
Because Pennsylvania corporate law prohibits a company from buying more than 20 percent of another company in a cash tender offer, shareholders will be asked in mid-December to approve a measure that would permit CSX to buy 40 percent.
The CSX-Conrail transaction calls for CSX to buy 40 percent of Conrail shares for $110 per share in cash and exchange the remaining 60 percent for CSX stock.
Sources close to the company said Conrail and CSX were well aware of the potential difficulties in winning the necessary votes.
Industry experts believe shareholders may be more willing to approve the 40 percent measure if they are guaranteed more favourable terms for the stock portion of the deal.
""They can't get the vote until they improve the back-end of the deal and they know that,"" one takeover specialist said.
Meanwhile, Conrail stock fell sharply on the New York Stock Exchange, reflecting the expiration of CSX's cash tender offer for the first 20 percent of Conrail's shares at $110 per share. Shares of Conrail fell $2.375 to $94.50.
Based on Thursday's stock price, the Conrail-CSX transaction values shares of Conrail at about $95.10 each. The stock portion of the deal would be exchanged at a value of about $85.15 for each Conrail share.",0
